id,collection,dc.title[en_US],dc.contributor.author[en_US],dc.description.abstract[en_US],dc.publisher,dc.date.issued,dc.identifier.doi,dc.identifier.issn,dc.subject,dc.language,dc.type,dc.publisher.volume,dc.publisher.issue,dc.publisher.page,dc.identifier.uri
+,123456789/779,Cardiovascular Manifestations of HIV Infection in Children,"Idris, Nikmah S||Kurniati, Nia||Sastroasmoro, Sudigdo||Grobbee, Diederick E||Burgner, David||Cheung, Michael MH||Uiterwaal, Cuno SPM","BACKGROUND: HIV infection in children is now considered as a chronic condition, in which various non-infectious complications may occur, including those affecting the developing cardiovascular system. As children are expected to survive well into adulthood, understanding childhood as well as potential future cardiovascular complications is of major importance.||METHODS AND RESULTS: We reviewed published literature on childhood cardiac manifestations and longer term effects of pediatric HIV infection on the cardiovascular system. Evidence gaps that should be prioritized in research are highlighted. Through poorly understood mechanisms, HIV infection may cause various cardiac complications already manifesting in childhood, such as structural and functional myocardial derangements, pulmonary hypertension, pericardial effusion and possibly endocarditis. Evidence indicates that HIV infection in children also has unfavorable effects on the vasculature and cardiovascular biomarkers, such as increased intima-media thickness and decreased flow-mediated dilation, a marker of endothelial function. However, studies are small and predominantly include antiretroviral therapy-treated children, so that it is difficult to differentiate between effects of HIV infection per se and antiretroviral therapy treatment, reported in adults to have cardiovascular side effects.||CONCLUSIONS: HIV infection in children may greatly impact the cardiovascular system, including effects on the heart, which tend to manifest early in childhood, and on the vasculature. The underlying mechanisms, essential for targeted prevention, are poorly understood. Current evidence largely stems from research in adults. However, as modes of infection, immune maturity, growth and development, and treatment are markedly different in children, specific pediatric research, accounting for the complex interplay of normal growth and development, HIV infection and treatment, is clearly warranted.",European Journal of Preventive Cardiology,2014,10.1177/2047487314560086,2047-4873,Human Immunodeficiency Virus||Atherosclerosis||Cardiovascular|Children||Heart,en,Journal Article,22,11,1452-1461,https://journals.sagepub.com/doi/full/10.1177/2047487314560086?url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&rfr_dat=cr_pub%3Dpubmed#articleCitationDownloadContainer
+,123456789/779,Closed Catheter Access System Implementation in Reducing the Bloodstream Infection Rate in Low Birth Weight Preterm Infants,"Rundjan, Lily||Rohsiswatmo, Rinawati||Paramita, Tiara Nien||Oeswadi, Chrissela Anindita ","Background: Bloodstream infection (BSI) is one of the significant causes of morbidity and mortality encountered in a neonatal intensive care unit, especially in developing countries. Despite the implementation of infection control practices, such as strict hand hygiene, the BSI rate in our hospital is still high. The use of a closed catheter access system to reduce BSI related to intravascular catheter has hitherto never been evaluated in our hospital. Objective: To determine the effects of closed catheter access system implementation in reducing the BSI rate in preterm neonates with low birth weight.||Methods: Randomized clinical trial was conducted on 60 low birth weight preterm infants hospitalized in the neonatal unit at Cipto Mangunkusumo Hospital, Jakarta, Indonesia from June to September 2013. Randomized subjects either received a closed or non-closed catheter access system. Subjects were monitored for 2weeks for the development of BSI based on clinical signs, abnormal infection parameters, and blood culture.||Results: Closed catheter access system implementation gave a protective effect toward the occurrence of culture-proven BSI (relative risk 0.095, 95% CI 0.011–0.85, p D0.026). Risk of culture-proven BSI in the control group was 10.545 (95% CI 1.227–90.662, p D0.026). BSI occurred in 75% of neonates without risk factors of infection in the control group compared to none in the study group.||Conclusion: The use of a closed catheter access system reduced the BSI in low birth weight preterm infants. Choosing the right device design, proper disinfection of device, and appropriate frequency of connector change should be done simultaneously.",Frontiers in Pediatrics,2015,10.3389/fped.2015.00020,2296-2360,Bloodstream Infection||Central Line-Associated Bloodstream Infection||Closed Catheter Access System||Infection Control Practices||Needleless Connector||Preterm Infants,en,Journal Article,3,,20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4360570/
+,123456789/779,Cost-Effectiveness Study of Pediatric Atopic Dermatitis in Asia: Atopiclair vs. Regular Emollient (AD-ATOP),"Munasir, Zakiudin||Tang, Mark B.Y.||Leong, Kin Fon||Ou, Liang-Shiou||Parekh, Pankaj R.||Azmi, Soraya||Low, Wilson||Goh, Adrian","BACKGROUND: Atopic dermatitis (AD) is a highly prevalent, chronic relapsing condition in childhood with significant financial burden and impact on the quality of life of patients and caregivers. Proactive maintenance treatment with moisturizing agents is the mainstay AD therapy.||OBJECTIVES: The aim of this study was to assess the cost-effectiveness of a non-steroidal barrier cream (Atopiclair), compared to regular emollient in pediatric patients with mild-to-moderate AD.||METHODS: A Markov decision model was developed to evaluate the cost-effectiveness of Atopiclair versus regular emollient in 12 Asia-Pacific countries, grouped by income categories based on gross domestic product (GDP) per capita. Data was obtained from structured literature review, expert opinion, fee schedules, and findings from a 2012 survey of 12 Asia-Pacific countries. Analysis was performed a societal perspective.||RESULTS: In the base case analysis, Atopiclair was cost-effective against regular emollient, with USD786, USD499, and USD289 in cost savings per year for high, middle, and low-income countries, respectively. Sensitivity analyses showed that Atopiclair remained cost-effective versus regular emollient.||CONCLUSIONS: Modelling analysis showed that Atopiclair is a cost-effective treatment compared to regular emollient for mild-to-moderate pediatric AD in the countries included in the study.<BR /><BR /> <EM>J Drugs Dermatol</EM>. 2015;14(2):169-175.",Journal of Drugs in Dermatology : JDD,2015,,,,en,Journal Article,14,2,169-175,https://jddonline.com/articles/dermatology/S1545961615P0169X/
+,123456789/779,Effects of Duration of Breastfeeding During Infancy on Vascular Dysfunction in Adolescents,"Putra, Sukman Tulus||Mansyur, Muchtaruddin||Satroasmoro, Sudigdo ","Aim: to investigate the effect of breastfeeding duration on vascular characteristics in adolescence.||Methods: we conducted a retrospective cohort study on adolescents aged 15-18 years old. Breastfeeding duration was inquired using a questionnaire filled by parents and categorized into 0-<2, 2-<4, 4-<6, 6-<12, and >12 months. Outcomes assessed were flow mediated dilation (FMD), carotid intima media thickness (CIMT), anthropometrics. Analysis was done using linear regression and MANOVA general linear model with cardiovascular risk factors as the dependent variables and breastfeeding duration as the independent variable with further adjustment for confounders.||Results: 285 subjects aged 15-18 years were enrolled. Breastfeeding duration of 4-<6 months was associated with thinner CIMT and the effect was more prominent after adjustment for gender and postnatal tobacco exposure (mean difference=24.28 micrometer, p=0.045). No statistically significant association was found with FMD.||Conclusion: breastfeeding duration of 4-<6 months is associated with thinner IMT and thus has a protective effect on the development of cardiovascular disease. However the association with FMD in adolescence is less clear. Key words: breastfeeding duration, vascular structure and function, cardiovascular risk",Acta Medica Indonesiana,2015,,2338-2732,Breastfeeding Duration||Vascular Structure and Function||Cardiovascular Risk,en,Journal Article,47,1,24-30,http://www.actamedindones.org/index.php/ijim/article/view/5/5
+,123456789/779,Efficacy and Long-Term Safety of a Dengue Vaccine in Regions of Endemic Disease,"Hadinegoro, Sri Rezeki||Arredondo-García, Jose Luis||Capeding, Maria Rosario||Deseda, Carmen||Chotpitayasunondh, Tawee||Dietze, Reynaldo||Ismail, Muhammad||Reynales, Humberto||Limkittikul, Kriengsak||Rivera-Medina, Doris Maribel||Tran, Huu Ngoc||Bouckenooghe, Alain||Chansinghakul, Danaya||Cortés, Margarita||Fanouillere, Karen||Forrat, Remi||Frago, Carina||Gailhardou, Sophia||Jackson, Nicholas||Noriega, Fernando||Plennevaux, Eric||Wartel, Anh||Zambrano, Betzana||Saville, Melanie","A candidate tetravalent dengue vaccine is being assessed in three clinical trials involving more than 35,000 children between the ages of 2 and 16 years in Asian-Pacific and Latin American countries. We report the results of long-term follow-up interim analyses and integrated efficacy analyses. Methods We are assessing the incidence of hospitalization for virologically confirmed dengue as a surrogate safety end point during follow-up in years 3 to 6 of two phase 3 trials, CYD14 and CYD15, and a phase 2b trial, CYD23/57. We estimated vaccine efficacy using pooled data from the first 25 months of CYD14 and CYD15. Results Follow-up data were available for 10,165 of 10,275 participants (99%) in CYD14 and 19,898 of 20,869 participants (95%) in CYD15. Data were available for 3203 of the 4002 participants (80%) in the CYD23 trial included in CYD57. During year 3 in the CYD14, CYD15, and CYD57 trials combined, hospitalization for virologically confirmed dengue occurred in 65 of 22,177 participants in the vaccine group and 39 of 11,089 participants in the control group. Pooled relative risks of hospitalization for dengue were 0.84 (95% confidence interval [CI], 0.56 to 1.24) among all participants, 1.58 (95% CI, 0.83 to 3.02) among those under the age of 9 years, and 0.50 (95% CI, 0.29 to 0.86) among those 9 years of age or older. During year 3, hospitalization for severe dengue, as defined by the independent data monitoring committee criteria, occurred in 18 of 22,177 participants in the vaccine group and 6 of 11,089 participants in the control group. Pooled rates of efficacy for symptomatic dengue during the first 25 months were 60.3% (95% CI, 55.7 to 64.5) for all participants, 65.6% (95% CI, 60.7 to 69.9) for those 9 years of age or older, and 44.6% (95% CI, 31.6 to 55.0) for those younger than 9 years of age. Conclusions Although the unexplained higher incidence of hospitalization for dengue in year 3 among children younger than 9 years of age needs to be carefully monitored during long-term follow-up, the risk among children 2 to 16 years of age was lower in the vaccine group than in the control group.",The New England Journal of Medicine,2015,10.1056/NEJMoa1506223,0028-4793,,en,Journal Article,373,13,1195-1206,https://www.nejm.org/doi/full/10.1056/NEJMoa1506223
+,123456789/779,Gluten and Casein Supplementation does not Increase Symptoms in Children with Autism Spectrum Disorder,"Pusponegoro, Hardiono D.||Ismael, Sofyan||Firmansyah, Agus||Sastroasmoro, Sudigdo||Vandenplas, Yvan ","AIM: A gluten- and casein-free diet is often given to children with autism spectrum disorder (ASD). We aimed to determine the effect of gluten and casein supplementation on maladaptive behaviour, gastrointestinal symptom severity and intestinal fatty acids binding protein (I-FABP) excretion in children with ASD.||METHODS: A randomised, controlled, double-blind trial was performed on 74 children with ASD with severe maladaptive behaviour and increased urinary I-FABP. Subjects were randomised to receive gluten-casein or a placebo for seven days. We evaluated maladaptive behaviour before and after supplementation, using I-FABP excretion, the approach withdrawal problem composite subtest of the Pervasive Developmental Disorder Behavior Inventory and the Gastrointestinal Symptom Severity Index.||RESULTS: The mean approach withdrawal problem composite score was significantly higher before supplementation than after, both in the placebo and in the gluten-casein group. However, the mean difference was not significant and may have been caused by additional therapy. There was no significant difference in gastrointestinal symptoms and urinary I-FABP excretion.||CONCLUSION: Administrating gluten-casein to children with ASD for one week did not increase maladaptive behaviour, gastrointestinal symptom severity or urinary I-FABP excretion. The effect of prolonged administration or other mechanisms of enterocyte damage in ASD should be explored.",Acta Paediatrica,2015,10.1111/apa.13108,0803-5253,Autism Spectrum Disorder||Casein-Free Diet||Gluten-Free||Intestinal Fatty Acids Binding Protein||Maladaptive Behaviour,en,Journal Article,104,11,e500-e505,https://onlinelibrary.wiley.com/doi/full/10.1111/apa.13108
+,123456789/779,Growth of Indonesian Infants Compared with World Health Organization Growth Standards,"Dwipoerwantoro, Pramita Gayatri||Mansyur, Muchtaruddin||Oswari, Hanifah||Firmansyah, Agus||Makrides, Maria||Cleghorn, Geoffrey ","OBJECTIVES: The ability of the World Health Organization (WHO) growth standards to represent the growth of South East Asian infants has been questioned. The aim of this study was to provide contemporary data on the growth of Indonesian breast-fed and formula-fed infants, compared with the WHO growth standards.||METHODS: A prospective cohort study of 160 normal healthy infants was undertaken in a suburban area of South Jakarta, Indonesia. Infants from 2 to 6 weeks of age were recruited, and they consumed exclusively either breast milk or infant formula for at least 6 months, with follow-up until 12 months of age.||RESULTS: Overall, the infants in the present study were lighter (weight-for-age), were shorter (length-for-age), and had smaller head circumferences (head circumference-for-age) than the average WHO Growth Reference Study population but were of similar proportion (weight-for-length). Compared with the WHO Growth Reference Study, the z scores for weight-for-age, length-for-age, and head circumference-for-age in the Indonesian children fell from birth to 6 weeks of age and then increased until 3 months of age in both the breast-fed and the formula-fed infants. At 6 weeks of age, the weight-for-age z scores fell below -2 standard deviations for 16 (20.5%) breast-fed and 40 (51.3%) formula-fed infants, and the length-for-age z scores fell below -2 standard deviations for 31 (39.7%) breast-fed and 41 (52.6%) formula-fed infants.||CONCLUSION: The WHO growth standards do not reflect the growth of the present cohort of Indonesian infants and may overestimate the levels of underweight and stunted children.",Journal of Pediatric Gastroenterology and Nutrition,2015,10.1097/MPG.0000000000000770,1536-4801,Asian||Breast Milk||Formula||Growth||Indonesia||Infants,en,Journal Article,61,2,248-252,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4523192/
+,123456789/795,A Guidance to Diagnose Crusted Scabies in Clinical Practice,"Nainggolan, Evelyn Lina||Riana, Imelda||Komarasari, Eka||Novianto, Endi||Rahmayunita, Githa||Jacoeb, Tjut Nurul Alam ",Crusted scabies (CS) is a parasitic infestation of Sarcoptes scabiei in large quantities and highly contagious. This disease usually occurs in immunocompromised patient. Misdiagnosis is frequently happened due to uncharacteristic clinical features. We report three cases of CS which had been misdiagnosed and treated improperly,Journal of the American Academy of Dermatology (JAAD),2015,10.1016/j.jaad.2015.02.511,0190-9622,,en,Journal Article,72,5,AB123,http://www.jaad.org/article/S0190-9622(15)00630-1/abstract
+,123456789/795,A Rare Case of Late Onset Reticulate Acropigmentation of Kitamura Without Involvement of the Palms and Soles,"Melly, Conny||Sularsito, Sri Addi||Sirait, Sondang Panjaitan||Rihatmadja, Rahadi||Widyasari, Indah||Onmaya, Vini ","Reticulate acropigmentations of Kitamura (RAPK) is an autosomal dominant inherited disorder characterized by pigmented, angulated, irregular freckle-like lesion with atrophy on the surface, arranged in a reticulate pattern on the dorsa of the hands and feet. It was first described by Kitamura and Akamatsu in Japan in 1943. The usual age of onset is the first and second decades of life. Palms and soles reveal pits and breaks in the epidermal ridge pattern. The histopathological examination show epidermal atrophy, digitate and filiform elongated rete ridges with clumps of heavy melanin pigmentation at their tips. Case: A 59-year-old male presented with asymptomatic and progressive brownish-black discoloration in a reticulate pattern on the dorsal aspect of his hands and feet. The lesions initially appeared when the patient was 45 years old. It was not preceded by any erythema or inflammation. There was no similar case in the family. Laboratory findings were within normal limits. Discussion: Skin biopsy taken from the dorsal of the hand and foot revealed hyperkeratosis, thinning of epithelium, filiform elongation of the rete ridges, increased melanocyte numbers in the basal layer, and lymphocyte infiltration in the dermis. Based on the clinical and histological findings he was diagnosed as RAPK. From some reports, sporadic cases without the involvement of other family members may occur, like our patient. Palms and soles involvement in RAPK is still debated, some considered it as a characteristic sign of this disorder while others refuted it.",Journal of General-Procedural Dermatology & Venereology Indonesia,2015,10.19100/jdvi.v1i1.5,2460-7991,Reticulate Acropigmentation of Kitamura||Histopathology||Late Onset||Sporadic,en,Journal Article,1,1,25-28,http://jgenprodvi.ui.ac.id/index.php/jdvi/article/view/5
+,123456789/795,Asiaticoside Induces Cell Proliferation and Collagen Synthesis in Human Dermal Fibroblasts,"Bramono, Kusmarinah||Mardliyati, Etik||Yulianti, Linda||Freisleben, Hans Joachim","Asiatiocoside, a saponin component isolated from Centella asiatica can improve wound healing by promoting the proliferation of human dermal fibroblasts (HDF) and synthesis of collagen. The skin-renewing cells and type I and III collagen synthesis decrease with aging, resulting in the reduction of skin elasticity and delayed wound healing. Usage of natural active compounds from plants in wound healing should be evaluated and compared to retinoic acid as an active agent that regulates wound healing. The aim of this study was to compare and evaluate the effect of asiaticoside and retinoic acid to induce greater cell proliferation and type I and III collagen synthesis in human dermal fibroblast. Methods Laboratory experiments were conducted using human dermal fibroblasts (HDF) isolated from human foreskin explants. Seven passages of HDF were treated with asiaticoside and retinoic acid at several doses and incubated for 24 and 48 hours. Cell viability in all groups was tested with the MTT assay to assess HDF proliferation. Type I and III collagen synthesis was examined using the respective ELISA kits. Analysis of variance was performed to compare the treatment groups. Results Asiaticoside had significantly stronger effects on HDF proliferation than retinoic acid (p<0.05). The type III collagen production was significantly greater induction with asiaticoside compared to retinoic acid (p<0.05). Conclusion Asiaticoside induces HDF proliferation and type I and III collagen synthesis in a time- and dose-dependent pattern. Asiaticoside has a similar effect as retinoic acid on type I and type III collagen synthesis.",Universa Medicina,2015,10.18051/UnivMed.2015.v34.96-103,2407-2230,Asiaticoside||Type I Collagen||Type III Collagen||Fibroblast||Proliferation||Retinoic Acid,en,Journal Article,34,2,96-103,https://univmed.org/ejurnal/index.php/medicina/article/view/24
+,123456789/795,Atypical Mycobacterial Infection Mimicking Carbuncle in an Elderly Patient: A Case Report,"Barros, Terlinda||Legiawati, Lili||Yusharyahya, Shannaz Nadia||Sularsito, Sri Adi||Wihadi, Imelda ","Background: Atypical mycobacterium infection occurs under certain skin conditions, namely the disruption of skin integrity and mucous membranes accompanied by the reduction of cellular immunity. However, atypical mycobacterial infection in elderly patients is rarely reported.||Case: A 64 years old male patient, complained of red lumps on the upper-backfor a month, accompanied by mild fever and minimal pain. Three months before, the patient had accupuncture on the neck and upper back. Physical examination showed multiple miliar to lenticular sized papules and pustules on an erythematous-violaceus base with hard and immobile palpable nodes and infiltrate. After clinical and laboratory workup, the patient was diagnosed withcarbuncle with Candida spp colonization. The treatment consisted of systemicantibiotics and topical antifungals. There was no clinical improvement after 3 weeks. Histopathology and laboratory results suggested atypical mycobacterium infection.||Discussion: Atypical mycobacterium infection should be considered in elderly patients with skin and soft tissue infections that show no clinical improvement tostandard therapy.",Journal of General-Procedural Dermatology & Venereology Indonesia,2015,10.19100/jdvi.v1i1.7,2460-7991,Skin and Soft Tissue Infection||Atypical Mycobacterium||Geriatric Patients,en,Journal Article,1,1,33-35,http://jgenprodvi.ui.ac.id/index.php/jdvi/article/view/7/pdf
+,123456789/819,Deep Anterior Lamellar Keratoplasty as an Alternative Treatment on Granular Corneal Dystrophy,"Martha, Faraby||Harmani, Bondan||Shidik, Amir||Gondhowiardjo, Tjahjono D.","Introduction: Granular corneal dystrophies (GCD) is an autosomal dominant corneal disorder with bilateral visual disturbances. Deep anterior lamellar keratoplasty (DALK) was recently introduced as an alternative to keratoplasty. This case report mentions DALK as treatment modality for management of young patient with GCD.||Case Report: A 24-year old Indonesian man presented with bilateral progressive visual loss since he was fifteen years of age. His bilateral best visual acuity was half meter finger counting. Slit lamp examination on both eyes revealed diffuse hazy corneas with bilateral opacities and multiple granular Bowman’s plane and anterior half of stroma. The patient was diagnosed as having a granular corneal dystrophy of both eyes and DALK was performed with manual lamellar dissection technique on his right cornea. The same size of donor cornea was triphaned 1/2 depth and put on top of host bare cornea, then nylon 10-0 was sutured. Two week after procedure, best corrected visual acuity in right eye improved to 6/40.||Conclusion: DALK is an alternative procedure for management of patients with GCD whose corneal endothelium is not compromised.",Journal of Case Report,2015,10.17659/01.2015.0086,,Cornea||Corneal Dystrophies||Endothelium||Visual Aquity||Corneal Transplantation,en,Journal Article,5,2,334-339,http://www.casereports.in/printerfriendly.aspx?id=496
+,123456789/819,Folliculitis Extending into Preseptal Cellulitis and Abscess in Children,"Susiyanti, Made||Ratnasari, Monika||Nora, Rina La Distia ","Objectives: To report a rare and complicated case of folliculitis extending into preseptal and orbital abscess in a young boy.||Case Report: An 11 month-old boy presented with frontal mass since 7 days and swelling, redness and pain of left eye since 3 days. A multidisciplinary approach was undertaken to find the etiology of infection, rule out malignancy, and confirm the diagnosis. Orbital MRI with contrast revealed cellulitis with multifocal abscess at the left eyelid, fronto-nasal region, and intra-orbitally. The patient underwent incisional biopsy and drainage of the abscess after 10 days of intravenous antibiotic and steroid resulting in only mild improvement. Histopathologic examination confirmed of abscess and culture revealed Staphylococcus aureus. Two months later, eyelid swelling completely resolved and visual acuity were 6/12 OU.||Conclusion: Multidisciplinary assessment is required to differentiate preseptal or orbital cellulitis and malignancy, especially in children. Aggressive intravenous antibiotics with steroid therapy are required to control infection. Surgical intervention must be promptly undertaken when there is no significant clinical improvement with conservative management or if there is evidence of abscess.",Journal of Case Report,2015,,,Folliculitis||Orbital Cellulitis||Orbital Cellulitis||Abscess||Staphylococcus Aureus||Antibiotics||Drainage||Humans,en,Journal Article,5,1,45-52,http://www.casereports.in/printerfriendly.aspx?id=423
+,123456789/819||123456789/724||123456789/697,Diagnostic Value of Contrast Sensitivity Test and Conjunctival Impression Cytology for the Detection of Sub-Clinical Vitamin-A Deficiency,"Gondhowiardjo, Tjahjono Darminto||Andriyani, Irma||Gumay, S||Artini, Widya||Werdhana, R.A. ","Purpose: To determine whether or not contrast sensitivity test and conjunctival impression cytology can be used as diagnostic tools to detect sub-clinical vitamin-A deficiency;and if there is a correlation within the two diagnostic methods.||Methods: A series of diagnostic studies comprising of contrast sensitivity test, conjunctival impression examination and serum retinol concentration were performed on literate children, six to ten years old, at West Java Elementary School. All subjects underwent a basic eye examination. Sample size, receiver operator curve, negative and positive predictive values, sensitivity and specificity were calculated.||Results: A total of 109 subjects out of 154 elementary school children corresponding to the inclusion criteria were included in this study. Forty-four (41.9%) children were detected to have sub-clinical vitamin-A deficiency. The contrast sensitivity test had a sensitivity value of 45.5% and a specificity value of 50.8% with a positive predictive value of 40%. The area under the receiver operator characteristic (ROC) curve was 49.5% (95% CI 38.1%-60.9%), whereas the conjunctival impression cytology test had a sensitivity value of 90.9%, and a specificity value of 16.4% with a positive predictive value of 43.9%. The ROC area was 56.1% (95% CI 45.0% - 67.1%). Pearson’s analysis showed that there is no correlationbetween the two diagnostic tools (p 0.538).||Conclusion: The results of this study indicated that neither the contrast sensitivity test nor the conjunctival impression cytology was found to be a favorable screening tool to detect sub-clinical vitamin-A deficiency. Moreover, there is no correlation between the two methods.",Asian Journal of Ophthalmology,2014,,,,en,Journal Article,13,4,131-140,https://www.asianjo.com/index.php/AsianJO/article/view/168
+,123456789/805,"Angiogenesis, Inflammation, Platelets Count, and Metastatic Status as a Predictor for Thrombosis Risk in Nasopharyngeal Carcinoma Patients","Sudoyo, Aru W||Rachman, Andhika||Harimurti, Kuntjoro ","Aim: to assess the use of of angiogenesis, inflammation, platelets count, and metastatic status as predictors for thrombosis risk represented by soluble P-selectin level in nasopharyngeal carcinoma (NPC) patients.||Methods: a cross sectional study was conducted on NPC patients at the Hematology and Oncology Clinic of Cipto Mangunkusumo Hospital, Jakarta, during Mei to October 2012. Data regarding angiogenesis (CD105 and VEGFR-2), inflammation (IL-6), platelets count, and metastatic status were assessed at enrollment, as well as soluble P-selectin levels in all eligible patients. Bivariate analysis continued with multiple linear regression analysis were done to identify independent predictors for soluble P-selectin levels.||Results: sixty NPC patients were enrolled in the study. There was correlation between platelet counts (r=0.389; p=0.002), IL-6 (r=0.595; p<0.001) and number of metastatic sites (r=0.542; p<0.001) with soluble P-selectin level, and a linear regression analysis showed that these three variables can predict soluble P-selectin levels with adjusted R-square 65%. There was no correlation between VEGFR-2 and CD105 levels with soluble P-selectin levels.||Conclusion: platelet counts, IL-6 level, and number of sites of metastasis can be used as predictors of soluble P-selectin level as parameter of thrombosis risk in NPC patients.",Acta Medica Indonesiana,2015,,0125-9326,Nasopharyngeal Carcinoma (NPC)||Thrombosis Risk||Soluble P-selectin,en,Journal Article,47,1,15-Nov,http://www.inaactamedica.org/archives/2015/25948762.pdf
+,123456789/805,Colonoscopy Preparation: Efficacy and Efficiency of Hospitalmade Polyethylene Glycol (PEG) Compared with Commercial PEG,"Makmun, Dadang||Abdullah, Murdani||Syam, Ari Fahrial||Fauzi, Achmad||Renaldi, Kaka||Simadibrata, Marcellus||Rani, Aziz||Idayanti","AIM: Colorectal cancer is the third most deadly cancer worldwide, and colonoscopy is an effective method for screening for this cancer. Reducing the cost of colonoscopy could help increase adherence of patients with indications for this disease. The aim of this study was to compare the efficacy and cost-effectiveness for bowel clearance between hospital-made polyethylene glycol and the commercial product.",Journal of Gastroenterology and Hepatology Research,2015,10.17554/j.issn.2224-3992.2015.04.505,2224-3992,Colorectal Neoplasms||Bowel Preparation Solutions||Cost-Effectiveness||Polyethylene Glycol,en,Journal Article,4,2,1470-1473,http://www.ghrnet.org/index.php/joghr/article/view/979/1184
+,123456789/805,Combination of Aspartate Aminotranferase and Tumor Necrosis Factor-a as Non Invasive Diagnostic Tools for Non Alcoholic Steatohepatitis (NASH),"Daldiyono||Purnomo, Hery D||Mundhofir, Farmaditya EP||Kasno||Sudijanto, Eddy||Darmono||Djokomoeljanto, R||Faradz, Sultana MH","Aim: to develop a non-invasive diagnostic test for non-alcoholic steatohepatitis NASH.||Methods: this is a cross-sectional study on non-alcoholic fatty liver disease (NAFLD) subjects. Sample was taken by consecutive sampling method. Diagnostic criteria of NAFLD were confirmed by liver biopsy. Clinical variables include metabolic syndrome, aspartate aminotransferase (AST), alanine aminotransferase (ALT), adiponectine, TNF-a, insulin, homeostatic model assessment insulin resistance (HOMA-IR) index and liver biopsy. Patients were divided into two groups based on their liver biopsy, group 1: Non-NASH (NAFLD activity score <3) and group 2: NASH (NAFLD activity score of >4). Statistical analyses were performed using Student’s t-test, Mann Whitney U, chi-square, the ROC curve, sensitivity and specificity test.||Results: fifty NAFLD patients were recruited, 30 males and 20 females. Among these patients, 12 (24%) had type 2 diabetes, 36 (72%) had metabolic syndrome, the remaining 2 (4%) did not fulfilled metabolic syndrome. Liver biopsy confirmed 21 (42%) non- NASH and 29 (58%) NASH respectively. Level of AST and ALT, plasma level of adiponectine and TNF-a were statistically different between two groups. The AST level (>25 U/L) in combination with TNF-a (>3.28 pg/cc) demonstrated a good diagnostic accuracy for NASH (Accuracy 82%, Sensitivity 76%, Specificity 90%, PPV 92%, and NPV 73%).||Conclusion: the combined diagnostic tests of AST and TNF-a plasma levels demonstrated a good accuracy for the detection of NASH among NAFLD patients. This combination test can be used as a noninvasive method to diagnose NASH.",Acta Medica Indonesiana,2015,,0125-9326,AST||TNF-a||Diagnostic Test||NASH,en,Journal Article,47,1,16-23,http://www.inaactamedica.org/archives/2015/25948763.pdf
+,123456789/805,Combination Therapy with Telmisartan and Oxacalcitriol Suppresses the Progression of Murine Adriamycin Nephropathy,"Lydia, Aida||Jeong, K H||Asanuma, K||Takagi, M||Asao, R||Kodama, F||Asanuma, E||Tomino, Y ","Background: Blockade of the renin-angiotensin system plays a key role in suppressing the progression of renal diseases. It has not been well established whether this therapy provides additional effects when combined with vitamin D or its analog in a model of adriamycin (ADR)-induced nephropathy.||Methods: We evaluated the effect of an angiotensin II subtype 1 receptor blocker (telmisartan) combined with a vitamin D analog (oxacalcitriol) on mice ADR-induced nephropathy (9.5 mg/kg single intravenous injection). We also tested immortalized murine podocytes to examine the effects on podocyte apoptosis.||Results: Mice with ADR-induced nephropathy developed progressive albuminuria and glomerulosclerosis within 30 days accompanied by decreased expression of slit diaphragm (SD)-associated proteins (nephrin and podocin), reduced numbers of podocytes, and increased systolic blood pressure. Treatment with telmisartan or oxacalcitriol alone moderately ameliorated kidney injury. The combined treatment most effectively reduced the albuminuria and glomerulosclerosis. These effects were accompanied by the restoration of SD-associated proteins, reduction of podocyte apoptosis, and prevention of podocyte depletion in the glomeruli. Treatment with telmisartan, oxacalcitriol, and the combination therapy resulted in similar reductions in systolic blood pressure. In cultured murine podocytes, ADR stimulated the expression of Bax/Bcl-2 and apoptosis as determined by Hoechst 33342 staining. These changes were effectively inhibited by telmisartan or oxacalcitriol, but the combination treatment most effectively reduced these effects.||Conclusions: These data demonstrated that application of a renin-angiotensin system blocker plus a vitamin D analog effectively prevented renal injury in ADR-induced nephropathy. The observed amelioration of renal injury may be partly attributable to antiapoptotic effects in podocytes.",Nephron,2015,10.1159/000369346,1660-8151,Adriamycin Nephropathy||AT1 Receptor Antagonist||Podocyte||Vitamin D Analog,en,Journal Article,129,2,143-154,https://www.karger.com/DOI/10.1159/000369346
